file	title	source	site	artist	category	page_title
长江还有一支歌.txt	长江还有一支歌	jianpucn-242680	jianpucn	杨洪基		长江还有一支歌（孟敦和词 张坚曲） 杨洪基 歌谱简谱网
父亲.txt	父亲	jianpucn-242735	jianpucn	张也		父亲（毛岸青 邵华词 向东曲） 张也 歌谱简谱网
海沧之梦.txt	海沧之梦	jianpucn-242941	jianpucn	殷秀梅		海沧之梦 殷秀梅 歌谱简谱网
举杯吧朋友.txt	举杯吧朋友	jianpucn-243155	jianpucn	阎维文		举杯吧朋友 阎维文 歌谱简谱网
月夜诉情.txt	月夜诉情	jianpucn-243225	jianpucn	邓丽君		月夜诉情 邓丽君 歌谱简谱网
让花儿为你开.txt	让花儿为你开	jianpucn-243226	jianpucn	邓丽君		让花儿为你开 邓丽君 歌谱简谱网
山南山北走一回_2.txt	山南山北走一回	jianpucn-243237	jianpucn	邓丽君		山南山北走一回（庄奴词 古月曲） 邓丽君 歌谱简谱网
今日中国充满希望.txt	今日中国充满希望	jianpucn-243340	jianpucn	宋祖英		今日中国充满希望（十八集大型专题纪录片《今日中国》主题歌） 宋祖英 歌谱简谱网
相爱好往昔.txt	相爱好往昔	jianpucn-243574	jianpucn	邓丽君		相爱好往昔 邓丽君 歌谱简谱网
相爱如往昔_—.txt	相爱如往昔 —	jianpucn-243579	jianpucn	邓丽君		相爱如往昔 — 邓丽君 歌谱简谱网
花开富贵】彩谱】.txt	花开富贵】彩谱】	jianpucn-243883	jianpucn	费玉清		花开富贵】彩谱】 费玉清 歌谱简谱网
心语.txt	心语	jianpucn-244210	jianpucn	韩红		心语 韩红 歌谱简谱网
千年一回眸.txt	千年一回眸	jianpucn-244320	jianpucn	阎维文		千年一回眸 阎维文 歌谱简谱网
那年那月_那山那水.txt	那年那月 那山那水	jianpucn-244993	jianpucn	杨洪基		那年那月 那山那水（电视专题片《红色中华》主题歌） 杨洪基 歌谱简谱网
金江金梦.txt	金江金梦	jianpucn-245368	jianpucn	张也		金江金梦 张也 歌谱简谱网
万叶千声-玉楼春.txt	万叶千声-玉楼春	jianpucn-245489	jianpucn	邓丽君		万叶千声-玉楼春 — 邓丽君 歌谱简谱网
清夜悠悠.txt	清夜悠悠	jianpucn-245505	jianpucn	邓丽君		清夜悠悠（桃园忆故人） 邓丽君 歌谱简谱网
花开在心头.txt	花开在心头	jianpucn-245582	jianpucn	邓丽君		花开在心头 邓丽君 歌谱简谱网
如果我有勇气.txt	如果我有勇气	jianpucn-245591	jianpucn	邓丽君		如果我有勇气 邓丽君 歌谱简谱网
架线工之歌.txt	架线工之歌	jianpucn-245681	jianpucn	蒋大为		架线工之歌 蒋大为 歌谱简谱网
如果我有勇气_2.txt	如果我有勇气	jianpucn-245703	jianpucn	邓丽君		如果我有勇气（扫描谱） — 邓丽君 歌谱简谱网
前生有缘.txt	前生有缘	jianpucn-245753	jianpucn	邓丽君		前生有缘 — 邓丽君 歌谱简谱网
让青春年华象花一样美丽_—.txt	让青春年华象花一样美丽 —	jianpucn-245758	jianpucn	邓丽君		让青春年华象花一样美丽 — 邓丽君 歌谱简谱网
昨夜又东风.txt	昨夜又东风	jianpucn-245788	jianpucn	那英		昨夜又东风（电视剧《戊戌风云》主题歌） 那英 歌谱简谱网
横刀纵马一声吼.txt	横刀纵马一声吼	jianpucn-245789	jianpucn	杨洪基		横刀纵马一声吼（电视剧《徐海东大将》主题歌） 杨洪基 歌谱简谱网
太阳星辰.txt	太阳星辰	jianpucn-245936	jianpucn	张学友		太阳星辰 张学友 歌谱简谱网
旧梦已远.txt	旧梦已远	jianpucn-246119	jianpucn	杨洪基		旧梦已远（电视剧《千年等一回》片尾曲） 杨洪基 歌谱简谱网
相思河_—.txt	相思河 —	jianpucn-246180	jianpucn	蒋大为		相思河 — （两版本合一） 蒋大为 歌谱简谱网
蝶恋花_答李淑一.txt	蝶恋花 答李淑一	jianpucn-246531	jianpucn	李谷一		蝶恋花 答李淑一（湖南花鼓戏 ） 李谷一 歌谱简谱网
西部春暖.txt	西部春暖	jianpucn-246655	jianpucn	阎维文		西部春暖 阎维文 歌谱简谱网
同欢同乐.txt	同欢同乐	jianpucn-247897	jianpucn	王宏伟		同欢同乐 王宏伟 歌谱简谱网
老百姓奔上好前程.txt	老百姓奔上好前程	jianpucn-248058	jianpucn	蒋大为		老百姓奔上好前程 蒋大为 歌谱简谱网
