file	title	site	source_url	suggested_tag	human_tag
对__徽______100__谱-_谱.txt	对__徽______100__谱-_谱	jianpujia	https://www.jianpujia.com/jianpu/314263.html	同一首(旋律 173 音 100% 覆盖)的对侧: 《对__徽______100__谱-_谱》	分类/民歌
对_河.txt	对_河	jianpujia	https://www.jianpujia.com/jianpu/314266.html	同一首(旋律 88 音 100% 覆盖)的对侧: 《对_河》	分类/民歌
小燕子_2.txt	小燕子	jianpujia	https://www.jianpujia.com/jianpu/15773.html	同一首(旋律 268 音 99% 覆盖)的对侧: 《小燕子》	儿歌
