source	site	判定	http	备注	最终地址	原URL	页面标题	语料曲名
jianpucn-314506	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/31/314506.htm	http://www.jianpu.cn/pu/31/314506.htm	中华合家欢 阎维文 歌谱简谱网	中华合家欢
qupu123-335635	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/wuzi/p335635.html	https://www.qupu123.com/minge/wuzi/p335635.html	中华好儿郎 （赵良田词 刘莎曲）_民歌曲谱_中国曲谱网	中华好儿郎
jianpucn-121415	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/12/121415.htm	http://www.jianpu.cn/pu/12/121415.htm	中华山歌 歌谱简谱网	中华山歌
qupu123-334377	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/qizi/p334377.html	https://www.qupu123.com/minge/qizi/p334377.html	中华得道，新时代 _民歌曲谱_中国曲谱网	中华得道，新时代
jianpucn-33215	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/33/33215.htm	http://www.jianpu.cn/pu/33/33215.htm	中华有我四季春 歌谱简谱网	中华有我四季春
jianpucn-248338	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/24/248338.htm	http://www.jianpu.cn/pu/24/248338.htm	中华民族（翟凤岗词 臧云飞 王锐曲） 杨洪基 歌谱简谱网	中华民族
jianpucn-129185	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/12/129185.htm	http://www.jianpu.cn/pu/12/129185.htm	中华这么美 歌谱简谱网	中华这么美
jianpucn-159744	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/15/159744.htm	http://www.jianpu.cn/pu/15/159744.htm	中原担当 歌谱简谱网	中原担当
qupu123-373398	qupu123	ok(曲名命中)	200		https://www.qupu123.com/minge/sizi/p373398.html	https://www.qupu123.com/minge/sizi/p373398.html	中国信心 _民歌曲谱_中国曲谱网	中国信心
jianpucn-135303	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/13/135303.htm	http://www.jianpu.cn/pu/13/135303.htm	中原的后代铁打的汉 歌谱简谱网	中原的后代铁打的汉
jianpucn-151881	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/15/151881.htm	http://www.jianpu.cn/pu/15/151881.htm	中国万岁 歌谱简谱网	中国万岁
qupu123-335609	qupu123	ok(曲名命中)	200		https://www.qupu123.com/hechang/wuzi/p335609.html	https://www.qupu123.com/hechang/wuzi/p335609.html	中国八点钟 _合唱曲谱_中国曲谱网	中国八点钟
jianpucn-448140	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/44/448140.htm	http://www.jianpu.cn/pu/44/448140.htm	中国不可阻挡 王宏伟 歌谱简谱网	中国不可阻挡
