dir	path_in_images_prep	source	in_corpus	nline	staff	source_url
总有爱 （ G调指法原版编配）__jianpucn-471589	images-prep/jianpucn-beyond/总有爱 （ G调指法原版编配）__jianpucn-471589	jianpucn-471589	0	154	14	
情人弹唱谱__jianpucn-212970	images-prep/jianpucn-beyond/情人弹唱谱__jianpucn-212970	jianpucn-212970	0	31	8	
愿我能（扫描谱）吉他 —__jianpucn-234683	images-prep/jianpucn-beyond/愿我能（扫描谱）吉他 —__jianpucn-234683	jianpucn-234683	0	22	7	
抗战二十年 （ G调原版编配）__jianpucn-471939	images-prep/jianpucn-beyond/抗战二十年 （ G调原版编配）__jianpucn-471939	jianpucn-471939	0	110	12	
无悔这一生 （ G调原版编配）__jianpucn-461979	images-prep/jianpucn-beyond/无悔这一生 （ G调原版编配）__jianpucn-461979	jianpucn-461979	0	55	8	
旧日的足迹 （ G调指法扫弦版）__jianpucn-458393	images-prep/jianpucn-beyond/旧日的足迹 （ G调指法扫弦版）__jianpucn-458393	jianpucn-458393	0	55	7	
旧日足迹 吉他 — （扫描版）__jianpucn-234433	images-prep/jianpucn-beyond/旧日足迹 吉他 — （扫描版）__jianpucn-234433	jianpucn-234433	0	24	6	
早班火车（尤克里里指弹谱）__jianpucn-414015	images-prep/jianpucn-beyond/早班火车（尤克里里指弹谱）__jianpucn-414015	jianpucn-414015	0	21	5	
昔日舞曲（ 乐队金曲吉他组合弹唱）__jianpucn-229287	images-prep/jianpucn-beyond/昔日舞曲（ 乐队金曲吉他组合弹唱）__jianpucn-229287	jianpucn-229287	0	44	6	
曾经拥有 （ A调原版编配）__jianpucn-472367	images-prep/jianpucn-beyond/曾经拥有 （ A调原版编配）__jianpucn-472367	jianpucn-472367	0	53	6	
海阔天空 原曲的钢琴部分__jianpucn-230968	images-prep/jianpucn-beyond/海阔天空 原曲的钢琴部分__jianpucn-230968	jianpucn-230968	0	156	5	
海阔天空 钢琴伴奏谱 —__jianpucn-231010	images-prep/jianpucn-beyond/海阔天空 钢琴伴奏谱 —__jianpucn-231010	jianpucn-231010	0	154	5	
海阔天空 （ D调原版编配）__jianpucn-457413	images-prep/jianpucn-beyond/海阔天空 （ D调原版编配）__jianpucn-457413	jianpucn-457413	0	77	6	
海阔天空指弹 （ G调独奏 ）__jianpucn-457586	images-prep/jianpucn-beyond/海阔天空指弹 （ G调独奏 ）__jianpucn-457586	jianpucn-457586	0	70	6	
灰色轨迹 （ G调原版编配）__jianpucn-458219	images-prep/jianpucn-beyond/灰色轨迹 （ G调原版编配）__jianpucn-458219	jianpucn-458219	0	71	6	
灰色轨迹 （ G调指法原版编配）__jianpucn-458344	images-prep/jianpucn-beyond/灰色轨迹 （ G调指法原版编配）__jianpucn-458344	jianpucn-458344	0	58	6	
灰色轨迹吉他 —扫描版__jianpucn-234333	images-prep/jianpucn-beyond/灰色轨迹吉他 —扫描版__jianpucn-234333	jianpucn-234333	0	32	6	
灰色轨迹（ 乐队金曲吉他组合弹唱）__jianpucn-228441	images-prep/jianpucn-beyond/灰色轨迹（ 乐队金曲吉他组合弹唱）__jianpucn-228441	jianpucn-228441	0	37	6	
真的爱你 单吉他版__jianpucn-215560	images-prep/jianpucn-beyond/真的爱你 单吉他版__jianpucn-215560	jianpucn-215560	0	60	6	
真的爱你 简化教学版__jianpucn-222448	images-prep/jianpucn-beyond/真的爱你 简化教学版__jianpucn-222448	jianpucn-222448	0	48	6	
真的爱你 （ C调原版编配）__jianpucn-463714	images-prep/jianpucn-beyond/真的爱你 （ C调原版编配）__jianpucn-463714	jianpucn-463714	0	41	6	
真的爱你( C调 弹唱 )__jianpucn-445041	images-prep/jianpucn-beyond/真的爱你( C调 弹唱 )__jianpucn-445041	jianpucn-445041	0	33	6	
真的爱你-ynwxpyw编配版__jianpucn-173455	images-prep/jianpucn-beyond/真的爱你-ynwxpyw编配版__jianpucn-173455	jianpucn-173455	0	3	6	
真的爱你独奏天缘音符编配版__jianpucn-174679	images-prep/jianpucn-beyond/真的爱你独奏天缘音符编配版__jianpucn-174679	jianpucn-174679	0	20	6	
真的爱你（ 乐队金曲吉他组合弹唱）__jianpucn-228223	images-prep/jianpucn-beyond/真的爱你（ 乐队金曲吉他组合弹唱）__jianpucn-228223	jianpucn-228223	0	40	6	
真的爱你（扫描谱）吉他 —__jianpucn-234685	images-prep/jianpucn-beyond/真的爱你（扫描谱）吉他 —__jianpucn-234685	jianpucn-234685	0	21	6	
谁伴我闯荡（ 乐队金曲吉他组合弹唱）__jianpucn-230519	images-prep/jianpucn-beyond/谁伴我闯荡（ 乐队金曲吉他组合弹唱）__jianpucn-230519	jianpucn-230519	0	48	6	
逝去的日子 吉他 — （扫描版）__jianpucn-234434	images-prep/jianpucn-beyond/逝去的日子 吉他 — （扫描版）__jianpucn-234434	jianpucn-234434	0	7	4	
长城（ 乐队金曲吉他组合弹唱）__jianpucn-229204	images-prep/jianpucn-beyond/长城（ 乐队金曲吉他组合弹唱）__jianpucn-229204	jianpucn-229204	0	23	6	
长城（扫描版）吉他 —__jianpucn-234181	images-prep/jianpucn-beyond/长城（扫描版）吉他 —__jianpucn-234181	jianpucn-234181	0	4	5	
阿涛指弹吉他独奏真的爱你__jianpucn-171667	images-prep/jianpucn-beyond/阿涛指弹吉他独奏真的爱你__jianpucn-171667	jianpucn-171667	0	1	6	
你的眼神 吉他类 流行__jianpucn-91225	images-prep/jianpucn-caiqin/你的眼神 吉他类 流行__jianpucn-91225	jianpucn-91225	0	43	6	
《倒带》 C调入门版( 吉他教学)__jianpucn-429773	images-prep/jianpucn-caiyilin/《倒带》 C调入门版( 吉他教学)__jianpucn-429773	jianpucn-429773	0	60	6	
《倒带》 C调初级进阶版( 吉他教学)__jianpucn-429772	images-prep/jianpucn-caiyilin/《倒带》 C调初级进阶版( 吉他教学)__jianpucn-429772	jianpucn-429772	0	57	6	
单身公害-弹唱 吉他类 流行__jianpucn-112885	images-prep/jianpucn-caiyilin/单身公害-弹唱 吉他类 流行__jianpucn-112885	jianpucn-112885	0	208	7	
台湾的心跳声 伴奏 世博会台湾馆主题曲__jianpucn-213517	images-prep/jianpucn-caiyilin/台湾的心跳声 伴奏 世博会台湾馆主题曲__jianpucn-213517	jianpucn-213517	0	144	6	
天空简单弹唱版__jianpucn-181081	images-prep/jianpucn-caiyilin/天空简单弹唱版__jianpucn-181081	jianpucn-181081	0	144	5	
布拉格广场钢琴配乐__jianpucn-216240	images-prep/jianpucn-caiyilin/布拉格广场钢琴配乐__jianpucn-216240	jianpucn-216240	0	105	5	
布拉格广场（钢琴五线谱）__jianpucn-97945	images-prep/jianpucn-caiyilin/布拉格广场（钢琴五线谱）__jianpucn-97945	jianpucn-97945	0	111	5	
日不落(吉他谱)__jianpucn-91348	images-prep/jianpucn-caiyilin/日不落(吉他谱)__jianpucn-91348	jianpucn-91348	0	60	6	
柠檬草的味道（钢琴伴奏谱）__jianpucn-313339	images-prep/jianpucn-caiyilin/柠檬草的味道（钢琴伴奏谱）__jianpucn-313339	jianpucn-313339	0	93	5	
海盗 - 弹唱版 弹唱版 -__jianpucn-231212	images-prep/jianpucn-caiyilin/海盗 - 弹唱版 弹唱版 -__jianpucn-231212	jianpucn-231212	0	125	5	
海盗 - 弹唱版__jianpucn-103270	images-prep/jianpucn-caiyilin/海盗 - 弹唱版__jianpucn-103270	jianpucn-103270	0	136	5	
