dir	path_in_images_prep	source	in_corpus	nline	staff	source_url
十年指弹 （ 卢家宏版独奏 ）__jianpucn-457262	images-prep/jianpucn-pop/十年指弹 （ 卢家宏版独奏 ）__jianpucn-457262	jianpucn-457262	0	40	6	
十年（中音萨克斯版）__jianpucn-421760	images-prep/jianpucn-pop/十年（中音萨克斯版）__jianpucn-421760	jianpucn-421760	0	122	5	
十年（次中音萨克斯版）__jianpucn-421761	images-prep/jianpucn-pop/十年（次中音萨克斯版）__jianpucn-421761	jianpucn-421761	0	126	5	
单恋-总谱__jianpucn-101505	images-prep/jianpucn-pop/单恋-总谱__jianpucn-101505	jianpucn-101505	0	137	5	
单恋钢琴总谱 五线谱__jianpucn-210141	images-prep/jianpucn-pop/单恋钢琴总谱 五线谱__jianpucn-210141	jianpucn-210141	0	136	5	
单车 （ G调原版编配）__jianpucn-457849	images-prep/jianpucn-pop/单车 （ G调原版编配）__jianpucn-457849	jianpucn-457849	0	39	6	
单车 （ G调指法原版编配）__jianpucn-458133	images-prep/jianpucn-pop/单车 （ G调指法原版编配）__jianpucn-458133	jianpucn-458133	0	3	5	
单车指弹 （ 吉他独奏 ）__jianpucn-457698	images-prep/jianpucn-pop/单车指弹 （ 吉他独奏 ）__jianpucn-457698	jianpucn-457698	0	32	6	
只是太爱你 （ G调指法原版编配）__jianpucn-458402	images-prep/jianpucn-pop/只是太爱你 （ G调指法原版编配）__jianpucn-458402	jianpucn-458402	0	54	6	
可 （ 薛之谦 C调原版弹唱谱）__jianpucn-458885	images-prep/jianpucn-pop/可 （ 薛之谦 C调原版弹唱谱）__jianpucn-458885	jianpucn-458885	0	5	6	
可惜不是你 单吉他__jianpucn-215173	images-prep/jianpucn-pop/可惜不是你 单吉他__jianpucn-215173	jianpucn-215173	0	395	20	
可惜不是你 歌曲类 钢琴伴奏谱__jianpucn-112375	images-prep/jianpucn-pop/可惜不是你 歌曲类 钢琴伴奏谱__jianpucn-112375	jianpucn-112375	0	192	6	
可惜不是你 （ C调原版编配）__jianpucn-457406	images-prep/jianpucn-pop/可惜不是你 （ C调原版编配）__jianpucn-457406	jianpucn-457406	0	76	6	
可惜不是你(吉他谱)__jianpucn-91108	images-prep/jianpucn-pop/可惜不是你(吉他谱)__jianpucn-91108	jianpucn-91108	0	58	6	
可惜不是你-简易版 键盘类 钢琴__jianpucn-114460	images-prep/jianpucn-pop/可惜不是你-简易版 键盘类 钢琴__jianpucn-114460	jianpucn-114460	0	125	5	
可惜不是你弹唱版__jianpucn-119014	images-prep/jianpucn-pop/可惜不是你弹唱版__jianpucn-119014	jianpucn-119014	0	134	5	
台北的红玫瑰（吉他弹唱）__jianpucn-146280	images-prep/jianpucn-pop/台北的红玫瑰（吉他弹唱）__jianpucn-146280	jianpucn-146280	0	73	6	
同类 （ D调指法编配）__jianpucn-460972	images-prep/jianpucn-pop/同类 （ D调指法编配）__jianpucn-460972	jianpucn-460972	0	19	6	
同类-弹唱 吉他类 流行__jianpucn-113177	images-prep/jianpucn-pop/同类-弹唱 吉他类 流行__jianpucn-113177	jianpucn-113177	0	177	6	
向左走向右走-弹唱 吉他类 流行__jianpucn-113225	images-prep/jianpucn-pop/向左走向右走-弹唱 吉他类 流行__jianpucn-113225	jianpucn-113225	0	85	6	
向左走向右走（钢琴伴奏谱）__jianpucn-281270	images-prep/jianpucn-pop/向左走向右走（钢琴伴奏谱）__jianpucn-281270	jianpucn-281270	0	94	5	
吻得太逼真 （ C调原版编配）__jianpucn-463038	images-prep/jianpucn-pop/吻得太逼真 （ C调原版编配）__jianpucn-463038	jianpucn-463038	0	40	6	
喜帖街 （ E调指法原版编配）__jianpucn-470468	images-prep/jianpucn-pop/喜帖街 （ E调指法原版编配）__jianpucn-470468	jianpucn-470468	0	17	6	
喜帖街（吉他弹唱谱）__jianpucn-299102	images-prep/jianpucn-pop/喜帖街（吉他弹唱谱）__jianpucn-299102	jianpucn-299102	0	71	6	
四季 （ G调指法原版编配）__jianpucn-467230	images-prep/jianpucn-pop/四季 （ G调指法原版编配）__jianpucn-467230	jianpucn-467230	0	41	6	
围城(吉他谱_版本2)__jianpucn-91145	images-prep/jianpucn-pop/围城(吉他谱_版本2)__jianpucn-91145	jianpucn-91145	0	39	6	
圣诞结 （ C调原版编配）__jianpucn-466579	images-prep/jianpucn-pop/圣诞结 （ C调原版编配）__jianpucn-466579	jianpucn-466579	0	48	6	
圣诞结 （ C调指法简单版编配）__jianpucn-471752	images-prep/jianpucn-pop/圣诞结 （ C调指法简单版编配）__jianpucn-471752	jianpucn-471752	0	48	6	
圣诞结 （ C调指法编配）__jianpucn-467629	images-prep/jianpucn-pop/圣诞结 （ C调指法编配）__jianpucn-467629	jianpucn-467629	0	85	6	
圣诞结 （ G调指法）__jianpucn-457597	images-prep/jianpucn-pop/圣诞结 （ G调指法）__jianpucn-457597	jianpucn-457597	0	45	6	
天涯海角-弹唱 吉他类 流行__jianpucn-113121	images-prep/jianpucn-pop/天涯海角-弹唱 吉他类 流行__jianpucn-113121	jianpucn-113121	0	93	6	
天黑 吉他类 流行__jianpucn-117727	images-prep/jianpucn-pop/天黑 吉他类 流行__jianpucn-117727	jianpucn-117727	0	48	6	
天黑 弹唱版 键盘类 钢琴__jianpucn-113479	images-prep/jianpucn-pop/天黑 弹唱版 键盘类 钢琴__jianpucn-113479	jianpucn-113479	0	23	5	
天黑黑 歌曲类 钢琴伴奏谱__jianpucn-112577	images-prep/jianpucn-pop/天黑黑 歌曲类 钢琴伴奏谱__jianpucn-112577	jianpucn-112577	0	124	5	
天黑黑-弹唱版__jianpucn-103707	images-prep/jianpucn-pop/天黑黑-弹唱版__jianpucn-103707	jianpucn-103707	0	116	5	
天黑黑弹唱版本__jianpucn-218343	images-prep/jianpucn-pop/天黑黑弹唱版本__jianpucn-218343	jianpucn-218343	0	115	5	
天黑黑指弹 （ 吉他独奏 ）__jianpucn-457333	images-prep/jianpucn-pop/天黑黑指弹 （ 吉他独奏 ）__jianpucn-457333	jianpucn-457333	0	13	6	
好久不见 初级进阶版 （ 吉他教学）__jianpucn-408005	images-prep/jianpucn-pop/好久不见 初级进阶版 （ 吉他教学）__jianpucn-408005	jianpucn-408005	0	75	6	
好久不见 （ C调指法原版编配）__jianpucn-458259	images-prep/jianpucn-pop/好久不见 （ C调指法原版编配）__jianpucn-458259	jianpucn-458259	0	50	6	
好久不见 （ C调指法编配）__jianpucn-471452	images-prep/jianpucn-pop/好久不见 （ C调指法编配）__jianpucn-471452	jianpucn-471452	0	11	6	
好久不见(钢琴伴奏谱 失恋33天插曲)__jianpucn-446288	images-prep/jianpucn-pop/好久不见(钢琴伴奏谱 失恋33天插曲)__jianpucn-446288	jianpucn-446288	0	108	5	
好久不见独奏__jianpucn-213559	images-prep/jianpucn-pop/好久不见独奏__jianpucn-213559	jianpucn-213559	0	198	13	
好久不见简单版 酷音小伟吉他教学__jianpucn-408273	images-prep/jianpucn-pop/好久不见简单版 酷音小伟吉他教学__jianpucn-408273	jianpucn-408273	0	65	6	
好久不见（C调初级进阶酷音小伟教学版）__jianpucn-408222	images-prep/jianpucn-pop/好久不见（C调初级进阶酷音小伟教学版）__jianpucn-408222	jianpucn-408222	0	70	6	
如果没有-总谱__jianpucn-117928	images-prep/jianpucn-pop/如果没有-总谱__jianpucn-117928	jianpucn-117928	0	134	5	
如果没有你 琅琅吉他原版__jianpucn-214272	images-prep/jianpucn-pop/如果没有你 琅琅吉他原版__jianpucn-214272	jianpucn-214272	0	19	9	
如果没有你女声弹唱版 降B调__jianpucn-218552	images-prep/jianpucn-pop/如果没有你女声弹唱版 降B调__jianpucn-218552	jianpucn-218552	0	144	5	
孤勇者 （ G调原版编配）__jianpucn-457424	images-prep/jianpucn-pop/孤勇者 （ G调原版编配）__jianpucn-457424	jianpucn-457424	0	45	6	
孤勇者 （ G调指法）__jianpucn-457471	images-prep/jianpucn-pop/孤勇者 （ G调指法）__jianpucn-457471	jianpucn-457471	0	42	6	
孤勇者 （G调原版指法）__jianpucn-457771	images-prep/jianpucn-pop/孤勇者 （G调原版指法）__jianpucn-457771	jianpucn-457771	0	47	6	
孤独患者 （ C调原版编配）__jianpucn-463050	images-prep/jianpucn-pop/孤独患者 （ C调原版编配）__jianpucn-463050	jianpucn-463050	0	41	6	
孤独患者 （ G调原版编配）__jianpucn-468356	images-prep/jianpucn-pop/孤独患者 （ G调原版编配）__jianpucn-468356	jianpucn-468356	0	75	6	
宁夏 歌曲类 钢琴伴奏谱__jianpucn-112366	images-prep/jianpucn-pop/宁夏 歌曲类 钢琴伴奏谱__jianpucn-112366	jianpucn-112366	0	160	5	
宁夏(五线谱)__jianpucn-34865	images-prep/jianpucn-pop/宁夏(五线谱)__jianpucn-34865	jianpucn-34865	0	134	5	
宁夏-弹唱 吉他类 流行__jianpucn-113040	images-prep/jianpucn-pop/宁夏-弹唱 吉他类 流行__jianpucn-113040	jianpucn-113040	0	103	6	
宁夏-简易版-弹唱 吉他类 流行__jianpucn-113041	images-prep/jianpucn-pop/宁夏-简易版-弹唱 吉他类 流行__jianpucn-113041	jianpucn-113041	0	103	6	
宁夏—简易版 键盘类 钢琴__jianpucn-113645	images-prep/jianpucn-pop/宁夏—简易版 键盘类 钢琴__jianpucn-113645	jianpucn-113645	0	109	5	
寂寞的恋人啊 （ G调原版编配）__jianpucn-458227	images-prep/jianpucn-pop/寂寞的恋人啊 （ G调原版编配）__jianpucn-458227	jianpucn-458227	0	54	6	
富士山下 （ C调原版编配）__jianpucn-457736	images-prep/jianpucn-pop/富士山下 （ C调原版编配）__jianpucn-457736	jianpucn-457736	0	40	7	
对你有感觉-弹唱版__jianpucn-101468	images-prep/jianpucn-pop/对你有感觉-弹唱版__jianpucn-101468	jianpucn-101468	0	101	5	
小手拉大手 （ C调原版编配）__jianpucn-462759	images-prep/jianpucn-pop/小手拉大手 （ C调原版编配）__jianpucn-462759	jianpucn-462759	0	49	6	
小手拉大手 （ C调指法编配）__jianpucn-467309	images-prep/jianpucn-pop/小手拉大手 （ C调指法编配）__jianpucn-467309	jianpucn-467309	0	57	6	
小薇-简易版 键盘类 钢琴__jianpucn-114593	images-prep/jianpucn-pop/小薇-简易版 键盘类 钢琴__jianpucn-114593	jianpucn-114593	0	102	5	
小薇（双吉他）__jianpucn-289213	images-prep/jianpucn-pop/小薇（双吉他）__jianpucn-289213	jianpucn-289213	0	75	6	
少年-弹唱 吉他类 流行__jianpucn-113135	images-prep/jianpucn-pop/少年-弹唱 吉他类 流行__jianpucn-113135	jianpucn-113135	0	80	8	
尘大师 （ A调指法原版编配）__jianpucn-470142	images-prep/jianpucn-pop/尘大师 （ A调指法原版编配）__jianpucn-470142	jianpucn-470142	0	37	8	
尚好的青春 （ C调原版编配）__jianpucn-463194	images-prep/jianpucn-pop/尚好的青春 （ C调原版编配）__jianpucn-463194	jianpucn-463194	0	6	6	
尚好的青春 （ G调指法编配）__jianpucn-464797	images-prep/jianpucn-pop/尚好的青春 （ G调指法编配）__jianpucn-464797	jianpucn-464797	0	4	6	
属于（吉他弹唱）__jianpucn-230044	images-prep/jianpucn-pop/属于（吉他弹唱）__jianpucn-230044	jianpucn-230044	0	53	6	
山丘 （ C调指法原版编配）__jianpucn-468568	images-prep/jianpucn-pop/山丘 （ C调指法原版编配）__jianpucn-468568	jianpucn-468568	0	73	6	
岁月如歌 （ 兄妹C调原版编配）__jianpucn-458962	images-prep/jianpucn-pop/岁月如歌 （ 兄妹C调原版编配）__jianpucn-458962	jianpucn-458962	0	2	6	
岁月如歌吉他__jianpucn-220392	images-prep/jianpucn-pop/岁月如歌吉他__jianpucn-220392	jianpucn-220392	0	124	6	
崇拜 伴奏__jianpucn-218704	images-prep/jianpucn-pop/崇拜 伴奏__jianpucn-218704	jianpucn-218704	0	78	5	
差一点(吉他谱)__jianpucn-91351	images-prep/jianpucn-pop/差一点(吉他谱)__jianpucn-91351	jianpucn-91351	0	56	6	
开始懂了 （ C调指法扫弦版）__jianpucn-462819	images-prep/jianpucn-pop/开始懂了 （ C调指法扫弦版）__jianpucn-462819	jianpucn-462819	0	70	6	
开始懂了（尤克里里弹唱谱）__jianpucn-414352	images-prep/jianpucn-pop/开始懂了（尤克里里弹唱谱）__jianpucn-414352	jianpucn-414352	0	11	4	
弹唱词（别后）（吉他弹唱）__jianpucn-146226	images-prep/jianpucn-pop/弹唱词（别后）（吉他弹唱）__jianpucn-146226	jianpucn-146226	0	56	6	
当你老了（ 演唱、刘淇铭编配版）__jianpucn-288376	images-prep/jianpucn-pop/当你老了（ 演唱、刘淇铭编配版）__jianpucn-288376	jianpucn-288376	0	44	6	
当你老了（吉他 ）__jianpucn-294899	images-prep/jianpucn-pop/当你老了（吉他 ）__jianpucn-294899	jianpucn-294899	0	69	6	
忽然之间 （ C调原版编配）__jianpucn-458390	images-prep/jianpucn-pop/忽然之间 （ C调原版编配）__jianpucn-458390	jianpucn-458390	0	50	6	
忽然之间尤克里里谱（ C调简单版）__jianpucn-461872	images-prep/jianpucn-pop/忽然之间尤克里里谱（ C调简单版）__jianpucn-461872	jianpucn-461872	0	45	4	
忽然之间（李洋编配版）__jianpucn-291504	images-prep/jianpucn-pop/忽然之间（李洋编配版）__jianpucn-291504	jianpucn-291504	0	49	5	
恋曲1990 （ C调原版编配）__jianpucn-468569	images-prep/jianpucn-pop/恋曲1990 （ C调原版编配）__jianpucn-468569	jianpucn-468569	0	33	6	
恋曲1990( D调指法)__jianpucn-445006	images-prep/jianpucn-pop/恋曲1990( D调指法)__jianpucn-445006	jianpucn-445006	0	33	6	
恋曲1990（ 编配版）__jianpucn-295568	images-prep/jianpucn-pop/恋曲1990（ 编配版）__jianpucn-295568	jianpucn-295568	0	42	6	
恋曲1990（侍书琴社编配版）__jianpucn-347548	images-prep/jianpucn-pop/恋曲1990（侍书琴社编配版）__jianpucn-347548	jianpucn-347548	0	56	6	
情歌 余杨老师编配__jianpucn-215151	images-prep/jianpucn-pop/情歌 余杨老师编配__jianpucn-215151	jianpucn-215151	0	26	10	
情歌---余杨老师编配版__jianpucn-172539	images-prep/jianpucn-pop/情歌---余杨老师编配版__jianpucn-172539	jianpucn-172539	0	4	7	
慢冷 （ A调指法原版编配）__jianpucn-461016	images-prep/jianpucn-pop/慢冷 （ A调指法原版编配）__jianpucn-461016	jianpucn-461016	0	6	5	
慢冷 （ C调指法原版编配）__jianpucn-460162	images-prep/jianpucn-pop/慢冷 （ C调指法原版编配）__jianpucn-460162	jianpucn-460162	0	23	6	
我也很想他-弹唱 吉他类 流行__jianpucn-113161	images-prep/jianpucn-pop/我也很想他-弹唱 吉他类 流行__jianpucn-113161	jianpucn-113161	0	90	6	
我从新疆来(五线谱_简谱对照)__jianpucn-44686	images-prep/jianpucn-pop/我从新疆来(五线谱_简谱对照)__jianpucn-44686	jianpucn-44686	0	53	5	
我怀念的 钢琴伴奏谱 —__jianpucn-232405	images-prep/jianpucn-pop/我怀念的 钢琴伴奏谱 —__jianpucn-232405	jianpucn-232405	0	648	4	
我怀念的 （ C调原版编配）__jianpucn-463716	images-prep/jianpucn-pop/我怀念的 （ C调原版编配）__jianpucn-463716	jianpucn-463716	0	52	6	
我怀念的（吉他 ）__jianpucn-404703	images-prep/jianpucn-pop/我怀念的（吉他 ）__jianpucn-404703	jianpucn-404703	0	79	6	
我所不能了解的事（吉他弹唱）__jianpucn-146281	images-prep/jianpucn-pop/我所不能了解的事（吉他弹唱）__jianpucn-146281	jianpucn-146281	0	53	6	
我爱你 塞北的雪（弹唱谱）__jianpucn-277575	images-prep/jianpucn-pop/我爱你 塞北的雪（弹唱谱）__jianpucn-277575	jianpucn-277575	0	41	7	
我的爱 歌曲类 钢琴伴奏谱__jianpucn-112570	images-prep/jianpucn-pop/我的爱 歌曲类 钢琴伴奏谱__jianpucn-112570	jianpucn-112570	0	154	5	
我的爱-弹唱 吉他类 流行__jianpucn-113169	images-prep/jianpucn-pop/我的爱-弹唱 吉他类 流行__jianpucn-113169	jianpucn-113169	0	94	6	
我的爱-弹唱版__jianpucn-101557	images-prep/jianpucn-pop/我的爱-弹唱版__jianpucn-101557	jianpucn-101557	0	162	5	
我走以后(吉他谱)__jianpucn-91104	images-prep/jianpucn-pop/我走以后(吉他谱)__jianpucn-91104	jianpucn-91104	0	70	6	
我走以后（约翰 汤普森 成人钢琴教程 第三册）__jianpucn-347541	images-prep/jianpucn-pop/我走以后（约翰 汤普森 成人钢琴教程 第三册）__jianpucn-347541	jianpucn-347541	0	75	5	
掌心-mt200编配版__jianpucn-177561	images-prep/jianpucn-pop/掌心-mt200编配版__jianpucn-177561	jianpucn-177561	0	95	6	
接受-弹唱 吉他类 流行__jianpucn-112968	images-prep/jianpucn-pop/接受-弹唱 吉他类 流行__jianpucn-112968	jianpucn-112968	0	192	6	
撕夜 （ G调指法原版编配）__jianpucn-457946	images-prep/jianpucn-pop/撕夜 （ G调指法原版编配）__jianpucn-457946	jianpucn-457946	0	46	6	
断点 歌曲类 钢琴伴奏谱__jianpucn-112337	images-prep/jianpucn-pop/断点 歌曲类 钢琴伴奏谱__jianpucn-112337	jianpucn-112337	0	363	5	
断点-简易版 歌曲类 钢琴伴奏谱__jianpucn-112338	images-prep/jianpucn-pop/断点-简易版 歌曲类 钢琴伴奏谱__jianpucn-112338	jianpucn-112338	0	158	6	
断点-简易版 键盘类 钢琴__jianpucn-114387	images-prep/jianpucn-pop/断点-简易版 键盘类 钢琴__jianpucn-114387	jianpucn-114387	0	129	5	
断点-简易版-弹唱 吉他类 流行__jianpucn-112932	images-prep/jianpucn-pop/断点-简易版-弹唱 吉他类 流行__jianpucn-112932	jianpucn-112932	0	105	6	
新鲜(钢伴) 歌曲类 钢琴伴奏谱__jianpucn-97634	images-prep/jianpucn-pop/新鲜(钢伴) 歌曲类 钢琴伴奏谱__jianpucn-97634	jianpucn-97634	0	49	6	
无所谓 弹唱版 键盘类 钢琴__jianpucn-113478	images-prep/jianpucn-pop/无所谓 弹唱版 键盘类 钢琴__jianpucn-113478	jianpucn-113478	0	33	5	
无条件 （ C调原版编配）__jianpucn-457491	images-prep/jianpucn-pop/无条件 （ C调原版编配）__jianpucn-457491	jianpucn-457491	0	46	6	
无条件为你(钢伴) 歌曲类 钢琴伴奏谱__jianpucn-97636	images-prep/jianpucn-pop/无条件为你(钢伴) 歌曲类 钢琴伴奏谱__jianpucn-97636	jianpucn-97636	0	81	5	
无条件（吉他弹唱谱）__jianpucn-297364	images-prep/jianpucn-pop/无条件（吉他弹唱谱）__jianpucn-297364	jianpucn-297364	0	74	6	
无能为力-弹唱 吉他类 流行__jianpucn-113235	images-prep/jianpucn-pop/无能为力-弹唱 吉他类 流行__jianpucn-113235	jianpucn-113235	0	102	6	
明天会更好 （ G调原版编配）__jianpucn-462706	images-prep/jianpucn-pop/明天会更好 （ G调原版编配）__jianpucn-462706	jianpucn-462706	0	46	6	
明天会更好-钢琴伴奏版__jianpucn-99987	images-prep/jianpucn-pop/明天会更好-钢琴伴奏版__jianpucn-99987	jianpucn-99987	0	75	5	
春秋（钢琴伴奏谱）__jianpucn-292759	images-prep/jianpucn-pop/春秋（钢琴伴奏谱）__jianpucn-292759	jianpucn-292759	0	840	4	
晚婚 （ C调指法原版编配）__jianpucn-467411	images-prep/jianpucn-pop/晚婚 （ C调指法原版编配）__jianpucn-467411	jianpucn-467411	0	8	6	
晚婚 （ G调原版编配）__jianpucn-457655	images-prep/jianpucn-pop/晚婚 （ G调原版编配）__jianpucn-457655	jianpucn-457655	0	58	6	
晚婚( G调 高清弹唱谱)__jianpucn-446222	images-prep/jianpucn-pop/晚婚( G调 高清弹唱谱)__jianpucn-446222	jianpucn-446222	0	59	6	
暖暖 （ G调指法原版编配）__jianpucn-469439	images-prep/jianpucn-pop/暖暖 （ G调指法原版编配）__jianpucn-469439	jianpucn-469439	0	45	6	
最佳损友 （ C调原版编配）__jianpucn-462808	images-prep/jianpucn-pop/最佳损友 （ C调原版编配）__jianpucn-462808	jianpucn-462808	0	47	6	
最想环游的世界 伴奏__jianpucn-218618	images-prep/jianpucn-pop/最想环游的世界 伴奏__jianpucn-218618	jianpucn-218618	0	139	5	
最想环游的世界（钢琴伴奏谱）__jianpucn-244438	images-prep/jianpucn-pop/最想环游的世界（钢琴伴奏谱）__jianpucn-244438	jianpucn-244438	0	102	5	
欢笑的日子(五线谱_简谱对照)__jianpucn-43687	images-prep/jianpucn-pop/欢笑的日子(五线谱_简谱对照)__jianpucn-43687	jianpucn-43687	0	83	5	
每天第一件事 吉他弹唱__jianpucn-223246	images-prep/jianpucn-pop/每天第一件事 吉他弹唱__jianpucn-223246	jianpucn-223246	0	60	6	
没有如果--全谱（伴奏谱）__jianpucn-95952	images-prep/jianpucn-pop/没有如果--全谱（伴奏谱）__jianpucn-95952	jianpucn-95952	0	134	5	
没有情人的情人节（刘传编配版）__jianpucn-289971	images-prep/jianpucn-pop/没有情人的情人节（刘传编配版）__jianpucn-289971	jianpucn-289971	0	57	6	
流着泪说分手独奏__jianpucn-213564	images-prep/jianpucn-pop/流着泪说分手独奏__jianpucn-213564	jianpucn-213564	0	207	11	
浮夸 （ G调指法简单版编配）__jianpucn-470998	images-prep/jianpucn-pop/浮夸 （ G调指法简单版编配）__jianpucn-470998	jianpucn-470998	0	60	6	
浮夸( 编配)__jianpucn-444504	images-prep/jianpucn-pop/浮夸( 编配)__jianpucn-444504	jianpucn-444504	0	46	6	
淘汰 钢琴弹唱谱 男声a调__jianpucn-242824	images-prep/jianpucn-pop/淘汰 钢琴弹唱谱 男声a调__jianpucn-242824	jianpucn-242824	0	60	5	
淘汰 （ G调原版编配）__jianpucn-463261	images-prep/jianpucn-pop/淘汰 （ G调原版编配）__jianpucn-463261	jianpucn-463261	0	58	6	
淘汰 （ G调指法原版编配）__jianpucn-469564	images-prep/jianpucn-pop/淘汰 （ G调指法原版编配）__jianpucn-469564	jianpucn-469564	0	44	6	
淘汰尤克里里谱（ D调带前奏尾奏）__jianpucn-460954	images-prep/jianpucn-pop/淘汰尤克里里谱（ D调带前奏尾奏）__jianpucn-460954	jianpucn-460954	0	26	6	
然后怎样 （ C调指法原版编配）__jianpucn-471744	images-prep/jianpucn-pop/然后怎样 （ C调指法原版编配）__jianpucn-471744	jianpucn-471744	0	64	6	
然后怎样（小叶歌编配版）__jianpucn-285772	images-prep/jianpucn-pop/然后怎样（小叶歌编配版）__jianpucn-285772	jianpucn-285772	0	68	6	
燕尾蝶-弹唱 吉他类 流行__jianpucn-113277	images-prep/jianpucn-pop/燕尾蝶-弹唱 吉他类 流行__jianpucn-113277	jianpucn-113277	0	100	6	
爱 （ C调指法原版编配）__jianpucn-466220	images-prep/jianpucn-pop/爱 （ C调指法原版编配）__jianpucn-466220	jianpucn-466220	0	60	6	
爱情之所以为爱情 美妙钢琴版（配乐版）__jianpucn-121924	images-prep/jianpucn-pop/爱情之所以为爱情 美妙钢琴版（配乐版）__jianpucn-121924	jianpucn-121924	0	124	5	
爱情转移 （ C调原版编配）__jianpucn-457803	images-prep/jianpucn-pop/爱情转移 （ C调原版编配）__jianpucn-457803	jianpucn-457803	0	39	7	
爱情转移(钢琴谱)__jianpucn-97077	images-prep/jianpucn-pop/爱情转移(钢琴谱)__jianpucn-97077	jianpucn-97077	0	147	5	
爱情转移尤克里里谱（ 单音四 ）__jianpucn-460946	images-prep/jianpucn-pop/爱情转移尤克里里谱（ 单音四 ）__jianpucn-460946	jianpucn-460946	0	27	4	
爱（ 演唱、纯钢琴版）__jianpucn-240209	images-prep/jianpucn-pop/爱（ 演唱、纯钢琴版）__jianpucn-240209	jianpucn-240209	0	107	5	
现象七十二变（吉他弹唱）__jianpucn-146282	images-prep/jianpucn-pop/现象七十二变（吉他弹唱）__jianpucn-146282	jianpucn-146282	0	65	6	
琅琅吉他原版编配 如果没有你---莫文蔚__jianpucn-194201	images-prep/jianpucn-pop/琅琅吉他原版编配 如果没有你---莫文蔚__jianpucn-194201	jianpucn-194201	0	10	7	
电台情歌 （邓超 G调指法）__jianpucn-458456	images-prep/jianpucn-pop/电台情歌 （邓超 G调指法）__jianpucn-458456	jianpucn-458456	0	52	8	
男声版吉他弹唱《遇见》__jianpucn-156669	images-prep/jianpucn-pop/男声版吉他弹唱《遇见》__jianpucn-156669	jianpucn-156669	0	66	6	
瘦瘦的—简易版 键盘类 钢琴__jianpucn-113605	images-prep/jianpucn-pop/瘦瘦的—简易版 键盘类 钢琴__jianpucn-113605	jianpucn-113605	0	102	5	
盛夏的果实伴奏__jianpucn-216222	images-prep/jianpucn-pop/盛夏的果实伴奏__jianpucn-216222	jianpucn-216222	0	120	5	
盛夏的果实（简单编配版）__jianpucn-295691	images-prep/jianpucn-pop/盛夏的果实（简单编配版）__jianpucn-295691	jianpucn-295691	0	35	6	
眼泪成诗 -（弹唱版）__jianpucn-103034	images-prep/jianpucn-pop/眼泪成诗 -（弹唱版）__jianpucn-103034	jianpucn-103034	0	136	5	
眼泪成诗 歌曲类 钢琴伴奏谱__jianpucn-112641	images-prep/jianpucn-pop/眼泪成诗 歌曲类 钢琴伴奏谱__jianpucn-112641	jianpucn-112641	0	338	5	
眼泪成诗－简易版 键盘类 钢琴__jianpucn-114666	images-prep/jianpucn-pop/眼泪成诗－简易版 键盘类 钢琴__jianpucn-114666	jianpucn-114666	0	261	6	
离别 吉他类 流行__jianpucn-91231	images-prep/jianpucn-pop/离别 吉他类 流行__jianpucn-91231	jianpucn-91231	0	19	6	
稳稳的幸福 （ G调原版编配）__jianpucn-470470	images-prep/jianpucn-pop/稳稳的幸福 （ G调原版编配）__jianpucn-470470	jianpucn-470470	0	52	7	
童年( G调简单版 儿歌弹唱谱)__jianpucn-445008	images-prep/jianpucn-pop/童年( G调简单版 儿歌弹唱谱)__jianpucn-445008	jianpucn-445008	0	42	6	
童年-吉他高清谱__jianpucn-208672	images-prep/jianpucn-pop/童年-吉他高清谱__jianpucn-208672	jianpucn-208672	0	98	6	
童年吉他谱 喀什怒放__jianpucn-149331	images-prep/jianpucn-pop/童年吉他谱 喀什怒放__jianpucn-149331	jianpucn-149331	0	28	6	
童年（吉他弹唱版）__jianpucn-295605	images-prep/jianpucn-pop/童年（吉他弹唱版）__jianpucn-295605	jianpucn-295605	0	36	6	
童话 -何山编配简易版__jianpucn-103118	images-prep/jianpucn-pop/童话 -何山编配简易版__jianpucn-103118	jianpucn-103118	0	116	5	
童话 唯一的原调弹唱__jianpucn-223058	images-prep/jianpucn-pop/童话 唯一的原调弹唱__jianpucn-223058	jianpucn-223058	0	114	5	
童话 完整独奏版__jianpucn-214311	images-prep/jianpucn-pop/童话 完整独奏版__jianpucn-214311	jianpucn-214311	0	46	6	
童话 （ C调指法原版编配）__jianpucn-462398	images-prep/jianpucn-pop/童话 （ C调指法原版编配）__jianpucn-462398	jianpucn-462398	0	57	6	
童话(五线谱)__jianpucn-710	images-prep/jianpucn-pop/童话(五线谱)__jianpucn-710	jianpucn-710	0	85	5	
童话(五线谱)__jianpucn-96410	images-prep/jianpucn-pop/童话(五线谱)__jianpucn-96410	jianpucn-96410	0	85	5	
童话-弹唱 吉他类 流行__jianpucn-113175	images-prep/jianpucn-pop/童话-弹唱 吉他类 流行__jianpucn-113175	jianpucn-113175	0	93	6	
童话-弹唱纯钢琴版__jianpucn-101990	images-prep/jianpucn-pop/童话-弹唱纯钢琴版__jianpucn-101990	jianpucn-101990	0	90	5	
童话-独奏__jianpucn-176779	images-prep/jianpucn-pop/童话-独奏__jianpucn-176779	jianpucn-176779	0	46	6	
童话-简易版-弹唱 吉他类 流行__jianpucn-113174	images-prep/jianpucn-pop/童话-简易版-弹唱 吉他类 流行__jianpucn-113174	jianpucn-113174	0	104	6	
