榜单	曲名	歌手	判定	库里曲名	库里文件	证据
eval_set_cn_pop_100classics	千里之外	周杰伦/费玉清	命中	千里之外	千里之外.txt	title 相等/包含
eval_set_cn_pop_100classics	梅兰梅兰我爱你	刘家昌	模糊候选	我爱你		相似度 0.75
eval_set_cn_pop_100classics	顺流逆流	徐小凤	命中	顺流逆流	顺流逆流.txt	title 相等/包含
eval_set_cn_pop_100classics	铁塔凌云	许冠杰	命中	铁塔凌云	铁塔凌云.txt	title 相等/包含
eval_set_cn_pop_100classics	掌声响起	凤飞飞	命中	掌声响起来	掌声响起来.txt	title 相等/包含
eval_set_cn_pop_100classics	海上花	甄妮	模糊候选	上花轿		相似度 0.67
eval_set_cn_pop_100classics	三月里的小雨	刘文正	模糊候选	泪的小雨		相似度 0.60
eval_set_cn_pop_100classics	鹿港小镇	罗大佑	命中	鹿港小镇	鹿港小镇.txt	title 相等/包含
eval_set_cn_pop_100classics	一剪梅	费玉清	命中	一剪梅	一剪梅_歌曲类.txt	title 相等/包含
eval_set_cn_pop_100classics	乡恋	李谷一	命中	乡恋	乡恋.txt	title 相等/包含
eval_set_cn_pop_100classics	似水流年	梅艳芳	命中	似水流年	似水流年.txt	title 相等/包含
eval_set_cn_pop_100classics	寂寞难耐	李宗盛	命中	寂寞难耐	寂寞难耐_歌曲类.txt	title 相等/包含
eval_set_cn_pop_100classics	前尘	林忆莲	库里没有			
eval_set_cn_pop_100classics	石头记	达明一派	命中	石头记	石头记.txt	title 相等/包含
eval_set_cn_pop_100classics	天天天蓝	潘越云	模糊候选	天天天天		相似度 0.75
eval_set_cn_pop_100classics	新鞋子，旧鞋子	侯德健	命中	柳琴二级：新鞋子、旧鞋子	柳琴二级：新鞋子、旧鞋子.txt	title 相等/包含
eval_set_cn_pop_100classics	一场游戏一场梦	王杰	命中	一场游戏一场梦	一场游戏一场梦.txt	title 相等/包含
eval_set_cn_pop_100classics	其实你不懂我的心	童安格	命中	其实你不懂我的心	其实你不懂我的心.txt	title 相等/包含
eval_set_cn_pop_100classics	梦回唐朝	唐朝乐队	命中	梦回唐朝	梦回唐朝.txt	title 相等/包含
eval_set_cn_pop_100classics	艳阳天	窦唯	命中	艳阳天	艳阳天.txt	title 相等/包含
eval_set_cn_pop_100classics	姐姐	张楚	库里没有			
eval_set_cn_pop_100classics	阿姐鼓	朱哲琴	库里没有			
eval_set_cn_pop_100classics	东风破	周杰伦	命中	东风破	东风破_歌曲类.txt	title 相等/包含
eval_set_cn_pop_100classics	爱情陷阱	谭咏麟	命中	爱情陷阱	爱情陷阱.txt	title 相等/包含
