目标曲名	页面标题	页面id	判定	类型	本地目录
说了再见	说了再见 C调转调（半音阶口琴）	372548	同名✓	改编/器乐	qupu123-mp026/说了再见 C调转调（半音阶口琴）__qupu123-372548
说了再见	说了再见	259614	同名✓	简谱(疑似可转写)	qupu123-mp026/说了再见__qupu123-259614
句号	句号（双指琴卡林巴琴和弦简谱）	356846	同名✓	改编/器乐	qupu123-mp029/句号（双指琴卡林巴琴和弦简谱）__qupu123-356846
句号	句号，逗号（前苏联）	8686	疑似	简谱(疑似可转写)	qupu123-mp029/句号，逗号（前苏联）__qupu123-8686
句号	邓紫棋 句号 吉他谱（无限延音编配）	354634	不同歌✗	改编/器乐	qupu123-mp029/邓紫棋 句号 吉他谱（无限延音编配）__qupu123-354634
反方向的钟	反方向的钟	305457	同名✓	简谱(疑似可转写)	qupu123-mp032/反方向的钟__qupu123-305457
反方向的钟	反方向的钟（免费吉他谱）	376453	同名✓	改编/器乐	qupu123-mp032/反方向的钟（免费吉他谱）__qupu123-376453
反方向的钟	周杰伦 反方向的钟 吉他谱（无限延音编配）	369630	同名✓	改编/器乐	qupu123-mp032/周杰伦 反方向的钟 吉他谱（无限延音编配）__qupu123-369630
退后	《探皇陵》众家儿郎且退后（京剧选段、京胡谱）	242820	不同歌✗	简谱(疑似可转写)	qupu123-mp033/《探皇陵》众家儿郎且退后（京剧选段、京胡谱）__qupu123-242820
退后	回族同胞永远不退后（五线谱）	33424	不同歌✗	改编/器乐	qupu123-mp033/回族同胞永远不退后（五线谱）__qupu123-33424
退后	退后（编配乐谱）	34775	同名✓	改编/器乐	qupu123-mp033/退后（编配乐谱）__qupu123-34775
还是分开	张叶蕾 还是分开 吉他谱（无限延音编配）	368599	同名✓	改编/器乐	qupu123-mp036/张叶蕾 还是分开 吉他谱（无限延音编配）__qupu123-368599
虚拟	虚拟的女孩	66892	不同歌✗	简谱(疑似可转写)	qupu123-mp038/虚拟的女孩__qupu123-66892
虚拟	虚拟的男孩	66891	不同歌✗	简谱(疑似可转写)	qupu123-mp038/虚拟的男孩__qupu123-66891
虚拟	虚拟网络真情意	40779	不同歌✗	简谱(疑似可转写)	qupu123-mp038/虚拟网络真情意__qupu123-40779
推开世界的门	杨乃文 推开世界的门 吉他谱（无限延音编配）	372047	同名✓	改编/器乐	qupu123-mp039/杨乃文 推开世界的门 吉他谱（无限延音编配）__qupu123-372047
缝合	缝合心的碎片（王雪玲词_郑惠铭曲）	114604	不同歌✗	简谱(疑似可转写)	qupu123-mp041/缝合心的碎片（王雪玲词_郑惠铭曲）__qupu123-114604
